City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hot Springs,US,34.5037,-93.0552,72.0,89,90,4.0,overcast clouds
1,Lashio,MM,22.9333,97.75,66.56,97,73,2.21,broken clouds
2,Mossendjo,CG,-2.9506,12.7261,83.46,60,99,3.6,overcast clouds
3,Avera,US,33.194,-82.5271,52.72,75,69,5.88,broken clouds
4,Te Anau,NZ,-45.4167,167.7167,50.95,98,93,1.01,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,68.99,90,96,7.2,overcast clouds
6,Tiksi,RU,71.6872,128.8694,4.77,95,100,8.63,overcast clouds
7,Kirando,TZ,-7.4167,30.6,86.77,52,61,9.73,broken clouds
8,Kiunga,PG,-6.1219,141.2906,75.16,99,100,5.08,light rain
9,Eyl,SO,7.9803,49.8164,83.66,62,5,16.28,clear sky
10,Albany,US,42.6001,-73.9662,38.53,90,5,3.0,clear sky
11,Mataura,NZ,-46.1927,168.8643,51.82,91,100,0.27,overcast clouds
12,Gamba,GA,-2.65,10.0,78.8,80,100,5.75,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,71.91,55,25,11.39,scattered clouds
14,Mehamn,NO,71.0357,27.8492,34.47,66,86,10.69,light rain
15,Barrow,US,71.2906,-156.7887,28.42,86,90,9.22,snow
16,West Norriton,US,40.1296,-75.3785,48.22,89,90,0.0,mist
17,Fraser,US,42.5392,-82.9494,38.03,93,1,0.0,clear sky
18,Morant Bay,JM,17.8815,-76.4093,80.22,83,49,8.81,scattered clouds
19,Broome,US,42.2506,-75.833,42.35,86,90,4.61,fog
20,Cape Town,ZA,-33.9258,18.4232,72.12,35,0,4.0,clear sky
21,Hobart,AU,-42.8794,147.3294,48.06,83,75,4.0,broken clouds
22,Moussoro,TD,13.6408,16.4901,100.67,13,25,13.02,scattered clouds
23,Sakata,JP,38.9167,139.855,53.78,87,75,3.44,broken clouds
24,Kapaa,US,22.0752,-159.319,75.52,83,75,16.11,broken clouds
25,Shegaon,IN,20.7833,76.6833,80.31,57,29,3.4,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,35.26,87,75,14.97,broken clouds
27,Luanda,AO,-8.8368,13.2343,78.8,78,75,8.05,broken clouds
28,Tampin,MY,2.4701,102.2302,83.62,89,80,1.5,broken clouds
29,Jaisalmer,IN,26.9147,70.9181,87.06,25,0,6.98,clear sky
30,Luang Prabang,LA,19.8856,102.1347,76.68,76,98,0.78,overcast clouds
31,Najran,SA,17.4924,44.1277,86.65,11,3,10.09,clear sky
32,Bengkulu,ID,-3.8004,102.2655,77.83,85,83,0.43,very heavy rain
33,Lompoc,US,34.6391,-120.4579,58.14,92,75,0.0,broken clouds
34,Qaanaaq,GL,77.484,-69.3632,-0.72,59,0,8.84,clear sky
35,Castro,BR,-24.7911,-50.0119,60.76,97,100,8.12,light rain
36,East London,ZA,-33.0153,27.9116,65.34,68,20,11.5,few clouds
37,Bluff,NZ,-46.6,168.3333,52.21,94,100,1.61,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,41.41,89,90,12.66,overcast clouds
39,Ena,JP,35.4498,137.4128,57.0,85,99,3.71,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,37.51,87,90,17.27,light rain
41,Bandarbeyla,SO,9.4942,50.8122,81.54,63,10,11.61,clear sky
42,Rikitea,PF,-23.1203,-134.9692,74.59,72,88,17.05,overcast clouds
43,Margate,GB,51.3813,1.3862,58.17,64,52,4.0,broken clouds
44,Kholtoson,RU,50.2981,103.3097,33.89,60,21,3.67,few clouds
45,Busselton,AU,-33.65,115.3333,63.09,86,100,9.51,overcast clouds
46,Kavieng,PG,-2.5744,150.7967,82.36,77,97,9.35,overcast clouds
47,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,40,10.36,scattered clouds
48,Port Macquarie,AU,-31.4333,152.9167,64.89,70,87,6.51,overcast clouds
49,Jalu,LY,29.0331,21.5482,88.52,19,54,9.06,broken clouds
50,Naze,JP,28.3667,129.4833,71.19,62,100,19.22,overcast clouds
51,Atuona,PF,-9.8,-139.0333,77.43,73,15,15.73,few clouds
52,Eureka,US,40.8021,-124.1637,60.37,79,100,8.99,light rain
53,Okoneshnikovo,RU,54.8377,75.0834,50.83,71,91,10.4,overcast clouds
54,Dongzhen,CN,22.3797,110.9389,68.04,70,27,5.14,scattered clouds
55,Lermontovka,RU,47.1453,134.3383,42.3,59,0,4.83,clear sky
56,Hilo,US,19.7297,-155.09,74.28,79,75,6.91,broken clouds
57,Gold Coast,AU,-28.0,153.4333,73.99,86,90,5.01,overcast clouds
58,Tuktoyaktuk,CA,69.4541,-133.0374,21.0,95,60,6.22,broken clouds
59,Vaini,TO,-21.2,-175.2,69.96,83,20,5.75,few clouds
